Sample No,Depth (ft),Net Confining Stress (psig),Grain Density (g/cubic-cm),b (air) psi,Beta ft(-1),Alpha (microns ),Porosity (%),Permeability (md)
2-10,4311.00,1200,2.663,26.12,1.81E+12,5.75E+02,19.30,   0.198
2-9,4316.00,1200,2.638,28.37,3.22E+11,1.37E+02,21.38,   0.282
2-8,4321.00,1200,2.663,16.66,8.87E+13,2.96E+03,10.78,   0.0161
2-7,4330.00,1200,2.644,14.18,3.46E+12,5.49E+02,14.64,   0.0750
2-6,4335.00,1200,2.650,28.73,1.11E+12,1.84E+02,12.39,   0.107
2-5,4348.00,1200,2.648,19.22,2.94E+10,1.59E+01,17.75,   0.302
2-3,4386.00,1200,2.641,19.80,1.65E+12,4.56E+02,19.60,   0.155
2-2,4390.00,1200,2.677,72.49,2.72E+14,5.23E+03,14.50,   0.0206
2-1,4414.00,1200,2.658,83.71,5.73E+14,7.45E+03,13.95,   0.0148
2-70,4428.00,Ambient,2.671,NA,NA,NA,12.23,NA
2-69,4444.00,1200,2.638,331.43,1.07E+18,2.81E+05, 0.48,   0.000532
2-68,4464.00,Ambient,2.606,NA,NA,NA, 0.39,NA
2-67,4513.00,1200,2.648,,,, 0.53,
2-66,4554.00,1200,2.647,,,, 0.50,
2-65,4620.00,1200,2.658,,,, 0.48,
2-64,4642.00,Ambient,2.636,NA,NA,NA, 0.39,NA
2-63,4655.00,1200,2.646,,,, 0.40,
2-62,4730.00,1200,2.649,331.45,1.03E+18,2.71E+05, 0.53,   0.000521
2-61,4796.00,1200,2.641,,,, 0.34,
